,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
92,37,6,17949,11,15,2,12,0,2,1,0,0,34,39,0
93,46,4,7678,9,4,2,1,0,4,1,0,0,34,39,0
94,50,0,19800,5,10,6,0,1,4,0,0,0,28,39,0
95,5,4,15754,15,1,4,3,3,4,1,0,0,28,39,0
96,22,1,20655,9,4,4,1,1,4,1,0,0,39,39,0
97,14,4,3544,9,4,2,12,0,4,1,0,0,56,39,0
98,40,4,8916,15,1,2,3,0,4,1,0,0,34,39,1
99,5,4,1523,9,4,4,10,3,4,1,0,0,34,39,0
100,25,4,6255,7,3,2,4,0,4,1,0,0,34,39,1
101,2,4,12976,11,15,4,8,3,4,0,0,0,12,39,0
102,0,7,6577,0,12,4,8,3,4,1,0,0,23,39,0
103,11,6,17449,15,1,2,5,0,4,1,0,0,50,39,0
104,29,2,3624,11,15,0,10,1,4,0,0,0,34,39,0
105,28,4,3783,15,1,0,3,1,4,1,53,0,51,39,1
106,3,4,8281,15,1,5,12,4,2,0,0,0,34,39,0
107,15,4,19801,11,15,4,8,3,2,0,0,0,34,39,0
108,50,4,10920,11,15,6,1,1,4,0,21,0,7,11,1
109,35,4,14037,11,15,2,14,0,0,1,0,0,34,39,1
110,18,4,19564,11,15,2,12,0,4,1,0,0,38,39,0
111,26,4,21578,11,15,0,1,4,4,0,0,0,53,39,0
112,12,4,16730,8,2,4,3,2,4,1,0,0,34,39,0
113,25,4,9305,15,1,2,10,0,4,1,0,0,34,39,1
114,51,0,250,11,15,6,0,1,4,1,0,0,25,39,0
115,12,4,9994,11,15,5,8,4,2,0,0,0,23,39,0
116,23,4,17604,15,1,0,4,1,4,1,0,0,34,39,0
117,13,4,18389,9,4,2,12,0,4,1,0,0,12,29,0
118,44,6,10712,15,1,2,1,0,4,1,0,0,45,39,1
119,29,4,21088,15,1,3,3,1,1,1,0,0,34,30,0
120,34,4,102,11,15,2,3,0,4,1,0,0,34,39,0
121,25,4,5918,9,4,2,4,0,4,1,0,0,34,39,1
122,8,4,14018,0,12,4,6,3,2,1,0,17,34,39,0
123,32,4,13339,9,4,2,12,0,4,1,0,0,45,39,1
124,41,4,10735,0,12,2,14,0,4,1,0,38,34,39,1
125,39,5,9978,9,4,2,12,0,4,1,19,0,45,39,1
126,34,5,16667,9,4,0,5,4,4,1,0,0,45,39,0
127,49,0,1071,1,13,4,0,1,4,1,0,0,23,39,0
128,21,4,1659,11,15,2,12,0,4,1,0,0,50,39,1
129,36,5,10646,15,1,6,12,1,4,0,0,0,56,39,0
130,0,4,4642,1,13,4,11,3,4,0,0,0,23,39,0
131,11,1,6994,7,3,2,1,0,4,1,0,0,56,39,0
132,20,6,16970,14,6,2,10,0,4,1,118,0,45,39,1
133,12,4,10260,11,15,2,7,0,4,1,0,0,34,39,0
134,40,4,5358,8,2,6,10,1,4,0,0,0,34,39,0
135,10,2,2079,12,5,4,10,1,4,0,0,0,34,39,0
136,11,4,9412,11,15,2,3,0,4,1,0,0,34,39,0
137,14,4,19709,0,12,4,8,1,4,1,0,0,34,39,0
138,20,4,4240,15,1,2,3,0,1,1,0,0,34,0,0
139,22,4,6345,11,15,0,1,1,4,0,0,0,34,39,0
140,17,6,6759,8,2,2,3,0,4,1,0,0,39,39,0
141,15,4,12440,8,2,2,13,0,4,1,0,0,34,39,0
142,42,5,15269,12,5,2,4,0,4,1,19,0,75,39,1
143,25,4,20089,11,15,2,6,0,4,1,0,0,34,39,0
144,30,7,3747,10,7,0,10,4,4,1,0,0,45,10,1
145,9,2,7820,9,4,4,10,3,2,0,0,0,28,39,0
146,22,4,6126,11,15,4,12,4,2,0,0,0,34,39,0
147,20,4,2155,11,15,4,13,1,4,0,12,0,28,39,1
148,16,4,14619,12,5,2,13,0,4,1,0,0,6,39,0
149,28,4,8302,15,1,2,3,0,4,1,0,0,34,39,1
150,45,0,15356,11,15,2,0,0,4,1,0,0,9,39,0
151,41,7,4577,6,11,2,5,0,4,1,0,0,34,39,0
152,33,6,1182,11,15,2,4,0,4,1,0,0,25,39,0
153,9,4,13574,9,4,4,12,1,1,1,0,0,12,35,0
154,24,1,13105,11,15,2,14,0,4,1,0,0,34,39,1
155,19,4,20290,15,1,4,11,4,2,0,0,0,34,39,0
156,30,0,822,11,15,5,0,4,2,0,0,0,25,39,0
157,31,2,3583,9,4,0,10,4,4,0,0,0,56,39,0
158,46,6,20471,11,15,2,5,0,4,1,0,0,39,39,0
159,14,4,12126,6,11,4,8,4,4,0,0,0,12,39,0
160,6,4,3339,15,1,4,1,3,4,1,2,0,12,39,0
161,19,4,17266,0,12,2,7,0,4,1,0,0,34,39,0
162,10,4,15834,11,15,4,7,4,2,1,0,0,34,39,0
163,7,4,11433,11,15,4,8,1,4,1,0,0,28,39,0
164,24,6,9767,11,15,2,12,2,4,0,0,0,34,5,0
165,8,4,7563,11,15,4,6,1,4,0,0,0,34,39,0
166,38,4,2115,11,15,2,7,0,4,1,0,0,34,39,1
167,34,4,1995,12,5,2,4,0,4,1,0,0,45,39,1
168,3,4,18061,15,1,4,10,1,4,0,0,0,34,39,0
169,2,4,7180,11,15,4,8,3,4,0,0,26,34,39,0
170,25,6,10672,11,15,0,3,1,4,1,0,0,34,39,0
171,19,4,10740,9,4,4,4,1,1,0,0,0,34,39,0
172,29,4,19789,11,15,2,8,0,4,1,0,0,45,39,0
173,2,0,12416,11,15,4,0,3,4,1,0,0,23,39,0
174,5,4,11256,15,1,4,13,2,1,0,0,0,25,39,0
175,16,2,13045,11,15,0,1,3,4,0,0,2,34,39,0
176,3,4,8512,11,15,4,6,3,4,1,0,0,34,39,0
177,27,4,10751,15,1,2,1,5,4,0,0,0,39,39,1
178,22,4,1836,9,4,4,4,3,1,0,0,0,28,39,0
179,45,4,16480,8,2,0,8,1,4,1,0,0,34,39,0
180,38,4,8784,9,4,2,4,0,4,1,19,0,36,39,1
181,7,0,14096,9,4,4,0,3,4,1,0,0,34,39,0
182,17,4,20227,1,13,4,8,3,1,1,0,0,34,30,0
183,21,6,8283,12,5,2,10,0,2,1,118,0,56,39,1
184,34,4,18688,6,11,2,5,0,4,1,0,0,34,26,0
185,25,4,9946,12,5,4,4,1,4,1,0,0,39,39,1
186,0,0,16296,0,12,4,0,3,2,1,0,0,12,39,0
187,9,0,2645,9,4,4,0,1,4,0,0,0,75,39,0
188,14,6,13361,6,11,2,3,0,4,1,0,0,34,39,0
189,35,4,6158,8,2,0,8,4,4,0,0,0,34,39,0
190,36,4,18222,12,5,2,4,0,4,1,19,0,50,39,1
191,12,4,20285,9,4,2,12,0,4,1,0,0,34,39,1
192,50,0,21136,11,15,6,0,2,4,0,0,0,74,39,0
193,3,6,8571,11,15,0,12,1,4,0,0,0,23,39,0
194,14,4,16270,11,15,4,3,4,4,1,15,0,34,39,1
195,14,4,11120,15,1,4,1,4,2,0,0,0,28,39,0
196,25,2,16229,15,1,2,1,5,4,0,0,0,34,39,0
197,6,4,7716,8,2,2,7,3,4,0,0,0,23,39,0
198,7,4,3309,15,1,4,12,3,4,1,0,0,12,39,0
199,1,2,3635,11,15,4,8,3,4,1,0,0,56,39,0
200,6,4,6895,11,15,4,3,1,4,1,0,0,34,39,0
201,40,7,14389,10,7,0,10,1,4,1,0,0,56,39,1
202,17,4,9328,10,7,2,10,0,4,1,0,0,56,39,1
203,27,4,5667,15,1,2,3,0,4,1,107,0,34,39,1
204,5,4,16925,8,2,4,10,1,4,1,0,0,23,39,0
205,35,4,6058,15,1,2,4,0,4,1,0,0,39,39,1
206,30,4,1369,11,15,0,3,4,4,0,0,0,37,39,0
207,7,4,3275,15,1,4,6,3,4,1,0,0,45,39,0
208,19,2,15496,15,1,0,1,4,4,0,0,0,61,39,0
209,15,6,18805,15,1,0,8,1,4,0,0,0,28,39,0
210,53,5,11436,15,1,2,4,0,4,1,0,0,23,39,0
211,14,4,10560,11,15,4,12,2,4,1,0,0,42,39,0
212,35,4,7345,15,1,2,4,0,4,1,19,0,50,2,1
213,23,4,11788,9,4,4,12,1,4,0,0,0,39,39,0
214,44,0,14950,5,10,2,0,0,4,1,0,0,34,39,1
215,33,1,21555,9,4,2,4,0,4,1,107,0,34,39,1
216,36,4,18750,15,1,2,1,0,4,1,0,0,45,39,1
217,19,4,4680,11,15,4,8,1,4,1,0,0,34,39,0
218,40,4,408,15,1,4,3,1,4,1,0,0,36,39,0
219,11,4,758,11,15,2,13,0,4,1,0,0,34,39,0
220,32,4,19764,9,4,2,4,0,4,1,0,0,34,39,1
221,16,4,10237,1,13,4,6,3,2,1,0,0,34,39,0
222,22,6,4669,10,7,0,1,2,3,1,0,0,34,0,0
223,45,4,8984,5,10,6,7,1,4,0,0,0,34,39,0
224,37,4,4267,1,13,2,8,5,2,0,0,0,34,39,1
225,29,4,3803,11,15,2,6,0,4,1,0,29,28,39,0
226,25,2,21457,15,1,2,3,0,4,1,94,0,34,39,1
227,7,4,18400,9,4,4,12,1,4,1,0,0,34,39,0
228,35,4,21379,10,7,2,4,0,4,1,0,0,52,39,1
229,27,4,4884,11,15,4,1,1,4,0,0,0,37,39,0
230,24,5,3642,15,1,0,7,1,4,0,0,0,34,16,0
231,2,4,18613,11,15,4,6,1,4,1,0,0,23,39,0
232,52,7,16379,11,15,2,11,0,4,1,0,0,34,39,0
233,42,2,5704,0,12,6,8,4,2,0,0,0,23,39,0
234,14,4,8326,11,15,2,12,0,4,1,0,0,45,39,1
235,4,4,19129,15,1,4,1,3,4,0,0,0,34,39,0
236,38,4,4433,15,1,2,11,0,2,1,0,0,34,0,1
237,28,4,9252,11,15,2,1,0,2,1,107,0,34,39,1
238,9,4,8792,11,15,2,6,0,4,1,0,0,45,39,0
239,31,2,15428,12,5,2,10,5,4,0,0,0,34,39,1
240,26,4,21581,8,2,2,4,0,4,1,62,0,42,39,1
241,25,4,17496,12,5,2,10,0,4,1,0,0,45,39,1
242,15,4,5237,11,15,2,7,0,2,1,0,0,34,39,0
243,14,4,18003,9,4,2,7,0,3,1,0,0,29,26,0
244,40,4,1753,11,15,2,7,0,4,1,0,0,34,39,0
245,21,4,7328,15,1,2,12,5,4,0,0,0,34,39,1
246,22,2,19519,9,4,0,1,4,4,0,0,0,28,39,0
247,34,4,9612,9,4,2,4,0,4,1,0,0,50,39,0
248,18,2,3541,15,1,2,8,0,4,1,0,0,34,39,0
249,8,4,2461,15,1,4,8,3,4,0,0,0,34,39,0
250,14,4,17313,9,4,4,10,4,2,0,0,0,34,0,0
251,26,4,7574,6,11,0,6,4,4,0,0,0,34,39,0
252,21,2,9035,9,4,2,4,0,4,1,0,0,34,39,1
253,47,6,15462,11,15,2,4,0,4,1,0,0,39,39,1
254,28,5,15652,9,4,2,4,0,4,1,0,0,46,39,0
255,31,6,86,8,2,2,8,5,4,0,0,0,6,39,0
256,8,4,5417,9,4,4,10,1,4,1,0,30,34,39,0
257,21,2,1396,9,4,2,10,5,4,0,0,0,12,39,1
258,21,4,18730,9,4,2,8,0,4,1,0,0,28,26,0
259,7,4,11683,7,3,4,4,3,4,1,0,0,34,39,0
260,28,4,20206,11,15,0,4,1,4,0,0,0,40,39,0
261,34,4,11739,11,15,2,13,0,4,1,107,0,45,39,1
262,5,4,8924,11,15,4,7,2,4,1,0,0,28,39,0
263,27,4,11130,11,15,5,1,1,4,0,0,0,34,33,0
264,33,4,13366,11,15,2,14,0,4,1,107,0,34,39,1
265,30,2,12046,15,1,4,11,1,2,1,0,0,34,39,0
266,7,4,9377,12,5,4,1,1,4,1,0,0,51,39,0
267,27,4,7518,11,15,2,3,0,4,1,0,0,35,39,0
268,6,2,14935,11,15,4,8,1,4,0,0,0,34,39,0
269,15,4,7400,9,4,2,3,0,4,1,0,0,34,39,1
270,10,6,1735,15,1,2,4,0,4,1,0,0,34,39,0
271,18,4,5587,11,15,3,8,4,2,0,0,0,12,39,0
272,7,4,12724,1,13,2,12,0,4,1,0,0,34,39,0
273,10,4,10905,11,15,2,3,0,4,1,0,0,34,39,0
274,44,1,3987,14,6,2,10,0,4,1,0,0,45,39,1
275,18,2,20519,9,4,2,10,0,4,1,0,0,45,39,0
276,10,4,16052,9,4,4,10,1,4,0,0,0,12,39,0
277,26,4,12110,9,4,2,10,0,4,1,0,0,34,39,1
278,9,4,7537,11,15,4,1,1,2,1,0,0,34,39,0
279,15,4,6679,0,12,2,3,0,4,1,0,0,34,39,1
280,28,4,21548,1,13,2,8,5,4,0,0,0,25,39,0
281,34,4,3735,11,15,2,1,5,2,0,67,0,31,39,0
282,24,6,14115,8,2,0,12,1,4,1,0,0,56,39,0
283,26,6,16641,9,4,2,10,0,4,1,0,0,13,39,0
284,17,7,12588,9,4,4,10,1,4,1,0,0,42,39,0
285,0,4,13490,4,9,4,8,2,4,1,0,0,42,26,0
286,33,6,2271,12,5,2,10,5,4,0,0,0,34,2,1
287,3,0,2671,6,11,4,0,3,4,1,0,0,34,39,0
288,56,7,20271,5,10,0,8,1,1,0,0,0,34,39,0
289,27,7,20051,12,5,2,10,0,2,1,0,0,56,39,1
290,16,4,20537,11,15,4,14,1,4,1,0,0,34,39,0
291,50,6,500,10,7,2,12,0,4,1,27,0,34,39,1
292,12,4,9378,11,15,2,3,0,4,1,0,0,45,39,0
293,30,4,11474,12,5,0,12,1,4,1,53,0,56,39,1
294,5,4,10703,15,1,0,7,3,4,0,0,0,34,39,0
295,26,4,10672,9,4,0,4,1,4,1,0,0,28,39,0
296,20,4,326,9,4,2,10,0,4,1,110,0,32,39,1
297,1,4,13635,1,13,4,8,3,2,1,0,0,74,39,0
298,14,4,9864,11,15,2,14,0,4,1,0,0,61,39,0
299,24,6,19546,15,1,2,5,0,4,1,110,0,45,39,1
300,30,4,4817,11,15,0,8,4,4,0,0,0,25,39,0
301,17,4,1014,11,15,2,1,0,4,1,0,8,34,39,0
302,30,4,20128,11,15,2,7,0,4,1,94,0,34,39,1
303,37,2,5863,11,15,2,14,0,4,1,0,0,34,39,0
304,38,4,12675,11,15,2,8,0,4,1,0,0,34,39,0
305,31,4,20095,15,1,0,10,4,4,0,0,0,12,39,0
306,46,5,5153,11,15,2,4,0,4,1,0,0,34,39,0
307,35,4,7870,3,8,2,7,0,4,1,0,0,34,26,0
308,9,4,7451,11,15,2,10,1,2,1,0,0,34,39,0
309,43,4,4710,15,1,0,3,1,4,1,0,0,41,39,0
310,17,6,4408,15,1,4,3,1,4,1,0,9,56,39,0
311,26,5,14225,14,6,2,10,0,2,1,0,0,93,39,1
312,26,4,7089,11,15,0,4,4,4,0,0,0,34,39,0
313,45,4,2777,10,7,2,10,0,4,1,110,0,34,0,1
314,26,4,9670,12,5,2,10,5,4,0,0,0,39,39,1
315,24,4,10071,8,2,2,13,5,4,0,0,0,31,39,1
316,14,4,12661,15,1,4,10,1,4,1,0,0,34,39,0
317,18,4,19270,1,13,5,14,1,2,1,73,0,34,39,0
318,7,6,1455,11,15,0,3,1,4,1,0,0,45,39,0
319,12,1,1382,9,4,1,10,0,4,1,0,0,45,39,1
320,43,4,20662,15,1,2,12,0,4,1,0,0,50,39,0
321,14,4,3116,11,15,2,1,5,4,0,0,0,34,39,1
322,10,4,14194,11,15,2,10,0,4,1,0,36,39,39,1
323,7,4,15118,15,1,4,12,1,4,0,0,0,6,39,0
324,2,4,18266,15,1,4,6,1,4,1,0,0,50,39,0
325,24,7,18796,9,4,2,1,0,4,1,0,0,45,39,1
326,5,4,4437,8,2,4,3,3,4,1,0,0,45,39,0
327,20,4,12922,9,4,0,4,1,4,1,0,0,34,39,0
328,44,4,11239,4,9,2,3,0,4,1,0,0,34,8,0
329,1,4,11798,15,1,4,12,3,4,0,0,0,17,39,0
330,30,2,4199,15,1,0,10,1,4,0,0,37,34,39,0
331,17,4,3661,11,15,3,8,4,4,0,0,0,61,39,0
332,30,4,16860,11,15,2,3,0,4,1,0,0,34,39,1
333,19,6,16538,10,7,2,10,0,4,1,0,0,28,39,0
334,48,4,12897,9,4,2,8,0,4,1,0,0,12,39,0
335,27,4,4442,9,4,2,10,0,2,1,0,42,45,39,1
336,0,4,4394,0,12,4,12,4,4,0,0,0,3,39,0
337,36,4,14879,9,4,2,12,0,4,1,0,0,45,39,1
338,25,4,9858,15,1,2,13,0,4,1,0,0,12,39,1
339,20,4,272,11,15,4,5,1,2,1,0,0,34,39,0
340,16,6,6143,9,4,2,10,0,4,1,0,0,56,39,0
341,12,4,10211,11,15,4,4,1,4,1,0,0,34,39,0
342,12,4,20719,11,15,0,8,4,4,0,0,0,39,39,0
343,21,5,19361,15,1,2,3,0,4,1,0,0,31,39,0
344,53,4,208,0,12,2,6,0,4,1,0,0,25,39,0
345,30,4,8766,11,15,2,3,0,4,1,0,0,42,39,0
346,3,6,4437,15,1,4,5,3,4,1,0,62,1,39,0
347,16,4,6172,9,4,2,4,0,4,1,19,0,56,39,1
348,16,4,15141,11,15,2,8,0,4,1,0,0,34,39,0
349,40,2,1807,11,15,0,1,4,4,0,0,0,34,39,0
350,22,5,14077,9,4,2,4,0,4,1,107,0,34,39,1
351,10,4,1657,1,13,4,4,4,4,0,0,0,39,39,0
352,9,4,4684,12,5,4,10,1,1,1,0,0,12,19,0
353,21,6,16019,15,1,2,5,5,4,0,0,0,6,39,0
354,17,6,6019,8,2,4,5,1,4,1,0,0,45,39,0
355,39,1,2504,9,4,2,10,0,4,1,0,0,34,39,1
356,8,4,2829,11,15,2,6,0,4,1,0,0,34,39,0
357,45,7,8741,11,15,2,8,0,4,1,0,0,34,39,0
358,22,2,21519,15,1,0,10,3,4,0,0,0,39,39,0
359,21,4,5839,11,15,4,10,1,4,1,0,0,34,39,0
360,34,6,15274,11,15,4,12,1,4,1,0,0,34,39,0
361,5,0,11895,15,1,4,0,3,4,1,0,0,67,39,0
362,16,7,1694,10,7,2,10,0,1,1,0,0,45,17,0
363,33,5,2641,15,1,2,4,0,4,1,0,0,45,11,1
364,29,4,21505,0,12,3,8,1,1,1,0,0,30,3,0
365,20,2,701,11,15,2,3,0,4,1,0,0,34,39,0
366,12,2,7817,15,1,4,8,3,4,0,0,0,1,39,0
367,33,4,15384,11,15,2,3,0,4,1,0,0,34,39,1
368,23,6,17898,15,1,2,3,0,4,1,0,0,45,39,0
369,7,4,8291,9,4,4,12,3,4,0,0,0,6,39,0
370,21,2,5307,11,15,2,14,0,4,1,0,0,12,39,0
371,18,4,16972,9,4,2,4,0,4,1,83,0,41,39,1
372,34,4,11847,8,2,0,8,1,4,1,0,0,34,39,0
373,14,6,9237,9,4,4,13,1,4,0,0,0,34,39,0
374,12,4,18464,9,4,2,10,0,4,1,0,0,34,39,1
375,23,4,6009,9,4,2,4,0,4,1,0,0,45,39,1
376,29,4,14024,8,2,5,7,1,2,0,0,0,34,39,0
377,20,4,13388,11,15,0,4,4,4,0,0,0,3,39,0
378,12,4,502,11,15,4,3,1,4,1,0,0,45,39,0
379,44,4,5193,11,15,2,3,0,4,1,0,0,34,39,1
380,14,4,5500,11,15,4,8,1,4,0,0,0,34,39,0
381,3,0,14685,15,1,4,0,3,4,0,0,0,34,39,0
382,20,4,756,12,5,5,4,1,4,1,53,0,56,20,1
383,55,0,1232,5,10,6,0,4,4,0,0,0,12,39,0
384,24,2,21063,11,15,0,10,4,1,0,0,0,34,39,0
385,38,1,1120,15,1,4,1,4,4,1,0,0,34,39,0
386,10,4,19732,15,1,4,6,3,2,1,0,0,34,39,0
387,36,7,3484,15,1,4,11,1,4,0,0,0,34,39,0
388,29,4,8049,9,4,2,4,0,4,1,0,0,28,39,1
389,18,2,7803,11,15,4,11,3,4,1,0,0,34,39,0
390,28,2,7253,12,5,0,10,3,4,0,0,0,50,39,0
391,24,7,15119,10,7,2,10,0,4,1,0,0,45,39,1
392,19,4,6109,11,15,2,3,0,4,1,94,0,34,39,1
393,45,6,1905,12,5,0,10,4,4,0,0,0,25,39,0
394,8,0,16440,11,15,2,0,5,4,0,0,0,33,39,0
395,30,4,7234,4,9,4,9,3,4,0,0,0,34,8,0
396,28,0,14086,11,15,5,0,4,4,0,0,0,1,39,0
397,38,4,7941,11,15,2,12,0,4,1,0,0,34,39,0
398,41,4,17196,11,15,2,5,0,4,1,0,0,12,39,0
399,31,4,18773,1,13,2,8,5,4,0,0,0,34,39,0
400,5,6,3360,11,15,4,8,3,4,1,0,0,34,12,0
401,47,6,19908,11,15,2,5,0,4,1,107,0,39,39,1
402,35,6,19776,12,5,2,4,0,1,1,0,0,34,30,0
403,15,4,16747,9,4,2,4,2,1,0,0,0,34,3,1
404,43,4,5209,11,15,2,8,5,4,0,118,0,34,39,1
405,37,4,10964,12,5,2,10,0,1,1,107,0,34,19,1
406,33,2,17046,0,12,4,8,1,4,1,0,0,34,39,0
407,14,4,19719,11,15,4,8,1,4,1,0,0,45,39,0
408,28,4,14513,11,15,0,1,1,1,0,0,15,34,24,0
409,10,2,1405,11,15,2,7,0,4,1,0,0,34,39,0
410,19,4,16096,11,15,2,4,0,4,1,0,0,45,39,1
411,21,4,14314,1,13,2,12,0,4,1,0,0,45,39,0
412,40,4,20991,12,5,3,10,1,4,0,0,0,34,39,0
413,35,1,8013,15,1,5,4,1,4,0,0,0,34,39,0
414,36,4,16260,14,6,4,10,1,4,0,0,0,34,39,0
415,19,4,14810,4,9,5,9,4,3,0,0,0,28,26,0
416,2,4,11656,1,13,4,6,1,4,1,0,0,34,39,0
417,10,6,4168,9,4,4,10,3,4,0,0,0,34,39,0
418,28,1,9579,7,3,0,1,4,1,1,0,49,34,30,0
419,23,4,10660,10,7,2,4,0,1,1,62,0,34,19,1
