Person ID,Region,Residence Type,Family Composition,Population Base,Sex,Age,Marital Status,Student,Country of Birth,Health,Ethnic Group,Religion,Economic Activity,Occupation,Industry,Hours worked per week,Approximated Social Grade
7394663,0,0,1,1,2,8,5,2,1,3,1,2,5,1,5,-9,2
7394695,0,0,2,1,2,5,2,2,1,2,1,2,3,8,2,-9,4
7394893,0,0,1,1,1,6,1,2,1,1,1,2,5,3,2,-9,2
7394899,0,0,2,1,2,6,2,2,1,3,1,2,5,6,12,-9,3
7394657,0,0,2,1,1,8,2,2,1,2,1,2,5,8,2,-9,4
7394658,0,0,2,1,2,4,2,2,1,2,1,2,1,7,4,3,4
7394756,0,0,2,1,2,5,2,2,1,3,1,1,1,9,9,1,4
7394529,0,0,3,1,2,1,1,1,1,2,1,1,-9,-9,-9,-9,-9
7394682,0,0,3,1,2,1,1,1,1,2,1,1,-9,-9,-9,-9,-9
7395250,0,0,1,1,1,8,4,2,1,3,1,2,5,5,3,-9,3
7394767,0,0,2,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7394768,0,0,2,1,1,3,2,2,1,2,1,1,1,5,4,3,3
7394769,0,0,2,1,1,6,2,2,1,3,1,2,1,5,2,3,3
7394672,0,0,2,1,2,8,2,2,1,3,1,2,5,9,8,-9,4
7394662,0,0,2,1,2,4,2,2,1,1,1,2,1,6,10,2,3
7394576,0,0,1,1,1,5,4,2,1,3,1,1,1,5,8,3,3
7394762,0,0,2,1,2,5,2,2,1,3,1,2,9,9,2,-9,3
7395185,0,0,2,1,1,4,2,2,1,2,1,2,1,9,3,3,4
7394717,0,0,3,1,2,2,1,2,1,2,1,1,1,6,12,3,3
7394690,0,0,2,1,2,6,2,2,1,3,1,2,8,3,10,-9,3
7394892,0,0,1,1,1,5,4,2,1,1,1,9,1,4,11,2,2
7394724,0,0,3,1,1,1,1,2,1,1,1,2,-9,-9,-9,-9,-9
7394521,0,0,5,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394725,0,0,3,1,2,3,1,2,1,2,1,1,2,5,2,4,3
7394736,0,0,2,1,2,6,2,2,1,2,1,2,1,2,10,3,1
7394493,0,0,2,1,2,4,2,2,1,2,1,2,1,7,4,2,4
7395287,0,0,2,1,1,4,2,2,1,1,1,1,1,3,9,4,2
7395031,0,0,2,1,1,5,2,2,1,4,1,2,8,5,3,-9,3
7394515,0,0,3,1,1,3,4,2,1,2,1,1,1,7,4,3,4
7394744,0,0,2,1,2,5,2,2,2,3,3,6,1,6,11,4,2
7394743,0,0,2,1,2,2,1,1,1,1,3,6,6,-9,-9,-9,2
7394716,0,0,5,1,2,5,4,2,1,3,1,2,5,2,11,-9,2
7395294,0,0,2,1,1,4,2,2,1,1,1,2,1,5,2,3,3
7394519,0,0,3,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7394941,0,0,2,1,1,5,2,2,1,2,1,1,1,1,11,3,1
7394740,0,0,2,1,1,4,2,2,2,1,3,6,9,8,6,-9,3
7394488,0,0,1,1,2,5,4,2,1,2,1,2,1,3,9,3,2
7394527,0,0,1,1,1,3,1,2,1,3,1,1,3,-9,-9,-9,4
7394770,0,0,2,1,1,7,2,2,1,1,1,2,5,7,3,-9,4
7394522,0,0,5,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7394495,0,0,2,1,1,6,2,2,1,3,1,2,9,8,2,-9,4
7394483,0,0,1,1,1,4,1,2,1,2,1,2,1,2,6,3,1
7394898,0,0,1,1,2,4,1,2,1,2,1,1,3,9,12,-9,4
7394737,0,0,2,1,2,6,2,2,1,1,1,2,1,9,11,1,4
7394524,0,0,1,1,1,3,1,2,1,2,1,2,3,9,2,-9,4
7394525,0,0,3,1,1,2,5,1,1,1,1,1,4,5,5,-9,2
7395282,0,0,2,1,2,2,1,2,1,1,1,2,1,7,4,3,4
7394491,0,0,3,1,2,4,1,2,1,2,1,2,1,7,11,2,2
7394490,0,0,3,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7394754,0,0,2,1,2,6,2,2,1,2,1,2,1,2,11,3,1
7395251,0,0,2,1,1,8,2,2,1,3,1,2,5,8,6,-9,3
7394916,0,0,1,1,1,7,4,2,1,2,1,2,5,4,6,-9,2
7395365,0,0,3,1,2,1,1,1,1,2,1,2,-9,-9,-9,-9,-9
7394544,0,0,5,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394611,0,0,2,1,1,1,1,2,1,1,1,2,-9,-9,-9,-9,-9
7394537,0,0,1,1,1,3,1,2,1,2,1,1,3,8,2,-9,3
7394588,0,0,2,1,1,6,2,2,1,2,1,2,3,8,3,-9,3
7394900,0,0,2,1,1,6,2,2,1,2,1,2,1,9,2,3,4
7394543,0,0,1,1,1,5,1,2,1,3,1,2,8,-9,-9,-9,4
7394912,0,0,2,1,2,6,2,2,1,2,1,2,7,9,5,-9,4
7394536,0,0,5,1,2,6,3,2,1,2,1,1,1,9,10,1,4
7394726,0,0,3,1,2,1,1,2,1,1,1,2,-9,-9,-9,-9,-9
7394581,0,0,5,1,2,1,1,1,1,4,1,2,-9,-9,-9,-9,-9
7395096,0,0,5,1,2,4,3,2,1,1,1,2,1,6,11,2,4
7394604,0,0,5,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7394609,0,0,2,1,1,3,1,2,1,2,1,2,3,9,2,-9,4
7394603,0,0,2,1,2,6,2,2,1,4,1,2,8,4,4,-9,3
7394605,0,0,2,1,1,5,2,2,1,3,1,1,1,8,6,2,4
7394566,0,0,5,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7394565,0,0,5,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7395278,0,0,2,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7395277,0,0,2,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7394573,0,0,2,1,1,7,2,2,1,3,1,2,5,5,2,-9,3
7395085,0,0,3,1,1,2,1,2,1,1,1,1,1,9,4,3,4
7394614,0,0,1,1,1,3,1,2,1,1,1,9,1,5,6,3,3
7394623,0,0,2,1,1,6,2,2,1,3,1,2,8,9,2,-9,4
7394587,0,0,2,1,2,5,2,2,1,1,1,2,1,6,11,2,4
7394626,0,0,5,1,2,4,1,2,1,2,1,2,1,5,10,3,3
7394803,0,0,3,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394630,0,0,3,1,2,2,1,2,1,1,1,1,1,7,4,2,4
7394610,0,0,3,1,1,4,1,1,1,3,1,2,4,9,3,3,2
7394805,0,0,2,1,1,4,2,2,1,1,1,9,1,2,2,3,1
7394553,0,0,3,1,2,3,1,2,1,2,1,2,7,-9,-9,-9,4
7394798,0,0,2,1,1,4,2,2,1,1,1,2,1,5,2,3,3
7394812,0,0,2,1,2,3,2,2,1,1,1,1,1,4,10,3,2
7394628,0,0,2,1,1,3,2,2,1,2,1,1,1,5,4,3,3
7394797,0,0,2,1,2,5,2,2,1,2,1,2,5,4,11,-9,1
7394583,0,0,5,1,2,2,1,2,1,1,1,2,7,-9,-9,-9,4
7394586,0,0,5,1,2,5,4,2,1,3,1,1,8,6,11,-9,4
7394846,0,0,1,1,1,2,1,2,1,2,1,1,1,5,3,3,3
7394589,0,0,2,1,1,5,2,2,1,3,1,1,7,8,3,-9,2
7394593,0,0,1,1,1,5,4,2,1,3,1,2,8,8,4,-9,3
7394621,0,0,3,1,1,2,1,2,1,1,1,2,1,3,2,3,2
7394986,0,0,2,1,2,5,2,2,1,3,1,2,1,4,9,3,2
7394847,0,0,1,1,1,4,1,2,1,2,1,1,3,8,2,-9,4
7394830,0,0,3,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395003,0,0,5,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7395326,0,0,1,1,2,3,3,2,1,1,1,2,1,6,11,3,3
7394792,0,0,5,1,1,3,1,2,1,1,1,2,1,3,8,3,2
7394819,0,0,2,1,2,3,2,2,1,3,1,2,1,6,8,2,3
7394608,0,0,2,1,1,3,1,2,1,1,1,2,1,9,4,2,4
7394624,0,0,2,1,1,6,2,2,1,3,1,2,9,8,6,-9,3
7395310,0,0,2,1,2,4,2,2,2,1,1,2,1,2,11,2,2
7395140,0,0,1,1,2,8,5,2,1,4,1,2,5,3,9,-9,2
7395311,0,0,2,1,1,7,2,2,1,2,1,2,5,2,2,-9,1
7394558,0,0,3,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395309,0,0,2,1,1,5,2,2,1,2,1,2,1,3,8,3,2
7395249,0,0,1,1,2,6,5,2,1,2,1,2,5,6,11,-9,4
7395142,0,0,2,1,1,2,1,2,1,1,1,2,1,8,3,3,4
7395143,0,0,2,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395306,0,0,2,1,2,6,2,2,1,3,1,2,7,6,11,-9,2
7395298,0,0,1,1,2,8,5,2,1,3,1,2,5,7,4,-9,4
7395263,0,0,3,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394504,0,0,2,1,2,6,2,2,1,1,1,2,1,7,4,1,4
7395307,0,0,2,1,2,4,2,2,1,1,1,2,1,3,4,3,2
7394590,0,0,5,1,2,5,5,2,1,2,1,2,1,9,3,2,4
7395340,0,0,1,1,2,6,4,2,1,1,1,2,5,3,8,-9,2
7395377,0,0,2,1,2,4,2,2,1,2,1,2,1,2,11,2,2
7395256,0,0,2,1,1,6,2,2,1,3,1,2,5,1,4,-9,2
7395259,0,0,2,1,1,7,2,2,1,2,1,1,5,8,2,-9,4
7395303,0,0,5,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7395258,0,0,2,1,2,6,2,2,1,3,1,2,1,2,9,3,1
7394506,0,0,1,1,1,3,1,2,1,4,1,1,1,8,2,3,3
7395296,0,0,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395290,0,0,2,1,1,8,2,2,1,4,1,2,5,9,8,-9,4
7394534,0,0,5,1,2,4,1,2,1,2,1,1,1,9,5,2,4
7395295,0,0,3,1,1,2,1,2,1,1,1,9,3,7,4,-9,1
7394560,0,0,2,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394562,0,0,2,1,1,2,1,2,1,1,1,9,1,6,11,2,3
7394555,0,0,2,1,2,5,2,2,1,2,1,2,1,7,4,2,4
7395281,0,0,5,1,2,5,4,2,1,2,1,1,1,6,11,3,3
7395264,0,0,3,1,1,8,5,2,1,2,1,2,5,4,5,-9,2
7394934,0,0,1,1,2,8,5,2,1,3,1,2,5,5,11,-9,4
7395276,0,0,2,1,2,6,2,2,1,1,1,2,1,2,10,2,1
7395261,0,0,2,1,1,4,2,2,1,3,1,2,1,8,2,4,4
7394935,0,0,5,1,2,4,3,2,1,1,1,1,1,6,11,2,3
7394945,0,0,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394535,0,0,2,1,2,5,2,2,1,3,1,2,1,7,4,2,4
7395300,0,0,1,1,2,7,1,2,1,2,1,2,5,2,11,-9,1
7394502,0,0,5,1,2,2,1,2,1,3,1,1,7,-9,-9,-9,4
7395022,0,0,5,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7395343,0,0,2,1,1,4,2,2,1,2,1,2,2,8,8,4,4
7394538,0,0,2,1,2,3,2,2,1,1,1,2,1,6,12,3,2
7394497,0,0,5,1,2,1,1,2,1,1,1,1,-9,-9,-9,-9,-9
7394947,0,0,6,1,1,2,1,1,1,1,1,2,4,5,5,1,2
7395248,0,0,2,1,1,4,2,2,1,2,1,2,2,3,3,1,2
7395288,0,0,2,1,1,4,2,2,1,2,1,1,1,5,3,3,3
7395255,0,0,2,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394551,0,0,2,1,2,7,2,2,1,1,1,2,5,5,10,-9,2
7394540,0,0,1,1,2,8,5,2,1,3,1,2,5,9,2,-9,4
7394868,0,0,2,1,1,2,1,2,1,1,1,1,1,9,8,3,4
7395333,0,0,5,1,2,6,5,2,1,1,1,2,5,4,9,-9,2
7395334,0,0,2,1,1,6,2,2,1,2,1,1,1,3,2,3,2
7394958,0,0,2,1,1,5,2,2,1,2,1,2,2,2,8,3,1
7394747,0,0,1,1,2,3,2,2,1,2,1,1,1,4,5,3,2
7394484,0,0,5,1,1,1,1,2,1,1,1,2,-9,-9,-9,-9,-9
7394720,0,0,1,1,2,5,1,2,1,3,1,2,8,6,11,-9,4
7394948,0,0,-9,2,1,2,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9
7394839,0,0,1,1,2,8,1,2,1,3,1,2,5,4,6,-9,2
7394966,0,0,3,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394700,0,0,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394733,0,0,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395257,0,0,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395065,0,0,3,1,1,3,1,2,1,1,1,2,1,7,7,3,2
7394910,0,0,5,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394972,0,0,1,1,1,7,4,2,1,2,1,2,5,8,2,-9,3
7394705,0,0,2,1,1,8,2,2,1,3,1,2,5,4,6,-9,2
7394858,0,0,2,1,2,3,2,2,1,1,1,1,7,-9,-9,-9,4
7395044,0,0,5,1,2,5,4,2,1,3,1,2,2,1,4,4,2
7394709,0,0,2,1,1,6,2,2,1,2,1,2,1,3,2,3,2
7394728,0,0,5,1,1,1,1,2,1,2,1,2,-9,-9,-9,-9,-9
7394732,0,0,2,1,1,3,1,2,1,1,1,1,3,7,4,-9,1
7394956,0,0,2,1,1,6,2,2,1,2,1,9,2,2,8,3,1
7394924,0,0,2,1,2,7,2,2,1,3,1,2,5,9,12,-9,3
7395050,0,0,3,1,1,4,4,2,1,1,1,2,1,3,9,3,2
7394913,0,0,1,1,1,3,1,2,1,2,1,2,2,5,3,3,3
7394800,0,0,2,1,2,2,1,1,1,1,3,7,4,7,4,1,2
7394974,0,0,1,1,2,3,1,2,1,2,1,9,3,7,7,-9,2
7395030,0,0,3,1,1,4,1,2,1,2,1,1,1,5,12,3,3
7395063,0,0,5,1,2,4,4,2,1,1,1,2,1,9,6,3,3
7395348,0,0,3,1,1,3,1,2,1,1,1,2,2,5,3,3,3
7394518,0,0,1,1,1,6,4,2,1,1,1,9,9,4,9,-9,2
7395368,0,0,1,1,2,3,1,2,1,1,1,1,1,6,12,2,3
7394938,0,0,2,1,2,5,2,2,1,2,1,2,1,4,4,1,2
7395364,0,0,3,1,1,5,4,2,1,2,1,2,1,1,4,3,2
7395028,0,0,2,1,2,5,3,2,1,1,1,2,1,6,10,2,3
7395062,0,0,2,1,2,3,2,2,1,1,1,1,3,7,4,-9,3
7395054,0,0,1,1,1,5,1,2,1,2,1,1,1,4,2,2,2
7394598,0,0,1,1,1,5,4,2,1,3,1,1,8,4,7,-9,2
7394940,0,0,5,1,1,2,1,2,2,1,3,2,9,-9,-9,-9,2
7394594,0,0,1,1,1,5,4,2,1,2,1,2,1,6,11,3,3
7395349,0,0,2,1,2,4,2,2,1,3,1,2,1,2,10,4,1
7395061,0,0,2,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395060,0,0,2,1,1,7,2,2,1,2,1,2,5,9,4,-9,4
7394734,0,0,2,1,1,5,2,2,1,2,1,2,1,3,4,3,1
7394983,0,0,5,1,2,3,1,2,1,1,1,2,1,9,4,3,4
7395344,0,0,1,1,2,3,1,2,1,2,1,2,1,3,9,3,2
7394785,0,0,2,1,1,2,1,2,1,1,1,2,1,6,12,3,2
7394811,0,0,5,1,2,8,5,2,1,4,1,2,5,9,9,-9,4
7395345,0,0,5,1,2,2,1,2,1,1,1,9,1,6,11,3,2
7394807,0,0,2,1,1,5,2,2,1,2,1,2,1,8,6,4,3
7395107,0,0,5,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7395370,0,0,2,1,1,4,2,2,1,2,1,1,1,3,9,4,2
7394813,0,0,2,1,1,5,2,2,1,2,1,2,1,8,9,3,3
7395119,0,0,1,1,2,7,5,2,1,3,1,2,5,9,9,-9,3
7394814,0,0,2,1,1,6,2,2,1,1,1,2,1,8,2,1,4
7395088,0,0,5,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395146,0,0,1,1,2,5,4,2,1,3,1,2,1,9,8,3,4
7395123,0,0,2,1,2,4,2,2,2,3,1,1,1,6,11,3,4
7395077,0,0,6,1,2,8,1,2,1,2,1,2,5,8,2,-9,4
7394689,0,0,2,1,1,4,2,2,1,1,1,1,1,8,2,3,4
7395113,0,0,1,1,2,8,5,2,1,3,1,2,5,-9,-9,-9,4
7395106,0,0,1,1,1,4,3,2,1,2,1,1,1,9,4,3,4
7394559,0,0,3,1,1,1,1,2,1,1,1,1,-9,-9,-9,-9,-9
7394799,0,0,2,1,1,5,2,2,1,1,1,2,1,6,11,3,3
7394802,0,0,2,1,2,2,1,1,1,1,1,1,4,6,12,1,2
7395347,0,0,2,1,1,4,2,2,1,1,1,2,1,5,8,4,3
7394801,0,0,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7394577,0,0,2,1,1,5,2,2,2,1,1,9,2,8,6,3,4
7395082,0,0,5,1,2,5,1,2,1,4,1,2,8,-9,-9,-9,4
7395126,0,0,2,1,2,6,2,2,1,3,1,2,1,2,11,2,2
7395102,0,0,3,1,1,4,1,2,1,4,1,9,9,5,5,-9,4
7395128,0,0,1,1,1,4,3,2,1,2,1,2,1,5,3,3,3
7395271,0,0,2,1,1,4,2,2,1,1,1,2,1,1,2,4,1
7395308,0,0,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395324,0,0,2,1,1,3,2,2,1,2,1,2,1,9,3,3,4
7395104,0,0,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395108,0,0,2,1,2,5,2,2,1,2,1,2,1,7,4,2,4
7395109,0,0,2,1,1,4,2,2,1,2,1,2,1,5,5,3,3
7394806,0,0,1,1,2,7,5,2,1,1,1,2,1,4,4,2,2
7395090,0,0,5,1,2,1,1,1,1,2,1,1,-9,-9,-9,-9,-9
7395352,0,0,5,1,2,2,1,1,1,1,1,2,4,2,10,2,2
7395098,0,0,2,1,1,7,2,2,1,3,1,9,5,5,4,-9,3
7395132,0,0,5,1,2,4,1,2,1,2,1,2,1,8,2,3,4
7394836,0,0,2,1,1,2,1,2,1,1,1,2,1,9,4,3,4
7395350,0,0,2,1,1,3,1,2,1,1,1,1,1,2,2,3,1
7395351,0,0,2,1,1,2,1,2,1,1,1,2,1,5,2,3,3
7395078,0,0,2,1,1,6,2,2,1,3,1,2,8,5,2,-9,4
7395138,0,0,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395292,0,0,2,1,2,6,2,2,1,2,1,2,5,7,4,-9,4
7395145,0,0,2,1,2,7,2,2,1,1,1,2,5,2,10,-9,2
7395135,0,0,1,1,1,6,4,2,1,3,1,2,8,4,7,-9,2
7395247,0,0,2,1,2,5,2,2,1,2,1,2,7,-9,-9,-9,3
7395321,0,0,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395118,0,0,2,1,2,1,1,2,1,1,1,2,-9,-9,-9,-9,-9
7395254,0,0,3,1,1,4,1,2,1,2,1,2,1,5,3,4,3
7395120,0,0,3,1,2,4,2,2,1,1,1,2,1,2,11,2,1
7395127,0,0,4,1,1,5,5,2,1,2,1,1,2,5,11,3,3
7395272,0,0,2,1,1,3,2,2,1,1,1,2,1,1,4,3,2
7395322,0,0,5,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395079,0,0,1,1,1,5,1,2,1,4,1,2,8,-9,-9,-9,4
7395275,0,0,2,1,1,7,2,2,1,2,1,2,5,5,2,-9,2
7394649,0,0,2,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7395213,0,0,2,1,1,6,2,2,1,2,1,2,1,8,3,3,4
7395122,0,0,1,1,2,8,5,2,1,2,1,2,5,5,10,-9,4
7394979,0,0,2,1,2,4,2,2,1,1,1,1,1,2,10,1,1
7395211,0,0,2,1,1,2,1,1,1,1,1,2,6,-9,-9,-9,2
7394606,0,0,2,1,2,1,1,1,1,1,3,1,-9,-9,-9,-9,-9
7395217,0,0,3,1,1,2,1,2,1,1,1,2,3,-9,-9,-9,2
7395219,0,0,2,1,2,3,2,2,2,1,4,2,3,-9,-9,-9,4
7395205,0,0,1,1,1,3,1,2,1,2,1,1,3,-9,-9,-9,4
7394652,0,0,2,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395231,0,0,1,1,2,6,4,2,1,2,1,2,5,2,11,-9,1
7395203,0,0,2,1,1,7,2,2,1,5,1,2,5,9,4,-9,2
7395204,0,0,4,1,1,8,5,2,1,3,1,1,5,6,12,-9,4
7394991,0,0,1,1,2,7,5,2,1,3,1,2,5,5,6,-9,4
7394987,0,0,3,1,1,3,1,2,1,1,1,1,1,3,2,3,1
7395223,0,0,2,1,1,4,2,2,1,3,1,2,1,8,2,3,3
7395242,0,0,3,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395233,0,0,1,1,2,4,1,2,1,2,1,2,1,7,2,3,2
7394674,0,0,2,1,1,8,2,2,1,3,1,2,5,3,2,-9,2
7394660,0,0,3,1,2,2,1,2,1,2,1,2,1,6,12,2,3
7394666,0,0,2,1,1,6,2,2,1,3,1,2,8,9,6,-9,2
7394667,0,0,2,1,2,2,1,1,1,1,1,2,4,4,12,-9,2
7394673,0,0,2,1,1,5,2,2,1,2,1,2,1,5,2,3,3
7394771,0,0,5,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395222,0,0,5,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394650,0,0,3,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394680,0,0,5,1,2,1,1,1,1,2,1,2,-9,-9,-9,-9,-9
7394895,0,0,2,1,1,1,1,1,1,2,1,1,-9,-9,-9,-9,-9
7394648,0,0,2,1,2,3,1,2,2,1,1,2,3,7,4,-9,2
7394656,0,0,1,1,2,7,5,2,1,2,1,2,5,4,10,-9,2
7394988,0,0,2,1,1,7,2,2,1,2,1,2,5,5,3,-9,3
7394632,0,0,2,1,2,4,2,2,1,1,1,2,7,6,8,-9,1
7394646,0,0,3,1,2,4,1,2,1,1,1,1,1,7,4,3,4
7394686,0,0,2,1,2,2,1,1,1,1,1,1,4,4,4,1,2
7394739,0,0,3,1,2,2,1,2,1,3,1,1,3,9,5,-9,2
7394765,0,0,2,1,2,7,2,2,1,2,1,2,5,7,4,-9,4
7394693,0,0,5,1,2,1,1,1,1,1,1,9,-9,-9,-9,-9,-9
7394669,0,0,1,1,2,7,5,2,1,3,1,2,5,-9,-9,-9,4
7394699,0,0,3,1,1,4,1,2,1,2,1,2,1,3,2,3,2
7394957,0,0,1,1,1,5,4,2,1,2,1,8,3,9,10,-9,4
7394642,0,0,2,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395230,0,0,2,1,1,5,2,2,1,3,1,2,1,3,3,3,2
7394853,0,0,2,1,2,6,2,2,1,2,1,1,7,9,3,-9,3
7394661,0,0,4,1,1,5,1,2,1,2,1,2,1,8,2,3,4
7395206,0,0,2,1,1,1,1,2,1,1,1,1,-9,-9,-9,-9,-9
7394708,0,0,2,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394684,0,0,2,1,2,7,2,2,1,2,1,2,5,7,4,-9,2
7394489,0,0,5,1,2,5,3,2,1,3,1,2,1,7,4,2,4
7394738,0,0,2,1,2,6,2,2,1,2,1,2,5,6,9,-9,1
7394703,0,0,2,1,1,7,2,2,1,3,1,2,1,4,3,2,2
7394707,0,0,2,1,1,5,2,2,1,1,1,2,2,5,8,3,3
7394917,0,0,2,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7394862,0,0,2,1,1,4,2,2,1,1,3,2,1,9,2,3,4
7395013,0,0,-9,2,2,2,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9
7395178,0,0,2,1,2,6,2,2,1,2,1,2,1,3,12,1,2
7395192,0,0,3,1,1,2,1,2,1,1,1,1,1,9,2,3,4
7394526,0,0,1,1,1,4,1,2,1,1,1,1,3,4,2,-9,2
7395105,0,0,5,1,2,5,1,2,1,1,1,2,3,4,2,-9,2
7394498,0,0,2,1,1,3,2,2,1,1,1,1,1,7,8,3,4
7394861,0,0,4,1,1,8,5,2,1,3,1,2,5,5,2,-9,3
7395075,0,0,3,1,1,2,1,2,1,1,1,2,1,9,5,3,4
7394907,0,0,2,1,1,6,2,2,1,3,1,2,3,5,3,-9,3
7394514,0,0,3,1,2,3,1,2,1,3,1,2,8,9,8,-9,4
7394582,0,0,2,1,1,5,2,2,1,2,1,1,1,5,4,3,3
7395017,0,0,2,1,2,8,2,2,1,3,1,2,5,9,8,-9,4
